,SMILES,in_silico_SARS_CoV_2_Mpro_docking_structure_POSIT_msk,Compound_ID,in_silico_SARS_CoV_2_Mpro_docking_confidence_POSIT_msk,in_silico_SARS_CoV_2_Mpro_docking_score_POSIT_msk,POSIT_Method,POSIT,RMSD,Dataset,Complex_ID,Reference_Ligand,TanimotoCombo
40,c1ccc2c(c1)cncc2NC(=O)[C@@H]3C[N@H+](Cc4c3cc(cc4)Cl)CC(=O)NC5CC5,Mpro-P1202_0A_MAT-POS-4223bc15-28_prepped_receptor_0,MAT-POS-5cd9ea36-13,0.91,-7.149446964263916,ALL,0.91,1.3674778213351035,Mpro-P1202_0A,MAT-POS-5cd9ea36-13_Mpro-P1202_0A,MAT-POS-4223bc15-28,1.4079995155334473
41,CS(=O)(=O)NCc1ccc(cc1CC(=O)Nc2cncc3c2cccc3)Cl,Mpro-P1010_0A_MAT-POS-4223bc15-18_prepped_receptor_0,ALP-POS-6479a3a9-2,0.81,-9.374810218811035,ALL,0.81,2.1281111280610325,Mpro-P1010_0A,ALP-POS-6479a3a9-2_Mpro-P1010_0A,MAT-POS-4223bc15-18,1.149598479270935
42,C[C@@H](C(=O)NC)[N@H+]1Cc2ccc(cc2[C@@H](C1)C(=O)Nc3cncc4c3cccc4)Cl,Mpro-P1202_0A_MAT-POS-4223bc15-28_prepped_receptor_0,MAT-POS-5cd9ea36-14,0.91,-7.950347423553467,ALL,0.91,0.956674842672868,Mpro-P1202_0A,MAT-POS-5cd9ea36-14_Mpro-P1202_0A,MAT-POS-4223bc15-28,1.5523490905761719
43,c1cc2c(cc1Cl)[C@@H](CCO2)C(=O)Nc3cncc4c3ccnc4,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,ALP-POS-ce760d3f-2,0.91,-8.868026733398438,ALL,0.91,0.28053288415373806,Mpro-P0160_0A,ALP-POS-ce760d3f-2_Mpro-P0160_0A,EDG-MED-5d232de5-1,1.822014331817627
44,CC(C)(C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4ccco4,Mpro-P2295_0A_EDJ-MED-968bafd9-1_prepped_receptor_0,MAT-POS-f2460aef-1,0.2399999946355819,-5.315350532531738,ALL,0.23999999463558197,6.739921980744507,Mpro-P2295_0A,MAT-POS-f2460aef-1_Mpro-P2295_0A,EDJ-MED-968bafd9-1,0.33048516511917114
45,Cc1ccc2cncc(c2c1)NC(=O)Cc3cccc(c3)Cl,Mpro-P0066_0A_RAL-THA-2d450e86-1_prepped_receptor_0,RUB-POS-1325a9ea-4,0.89,-8.156920433044434,ALL,0.89,1.4438522063839458,Mpro-P0066_0A,RUB-POS-1325a9ea-4_Mpro-P0066_0A,RAL-THA-2d450e86-1,1.7419557571411133
46,C[C@]1(CNc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,Mpro-P0872_0A_ALP-UNI-8d415491-6_prepped_receptor_0,EDJ-MED-2f867453-1,0.94,-8.725167274475098,ALL,0.9400000000000001,0.7401990140054554,Mpro-P0872_0A,EDJ-MED-2f867453-1_Mpro-P0872_0A,ALP-UNI-8d415491-6,1.3219194412231445
47,c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(c(c4)F)Cl,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,RAL-THA-05e671eb-10,0.99,-8.691211700439453,ALL,0.99,0.7080777032225626,Mpro-P0160_0A,RAL-THA-05e671eb-10_Mpro-P0160_0A,EDG-MED-5d232de5-1,1.2932415008544922
48,CO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cc(cc4)F,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,EDJ-MED-611d11e7-4,0.94,-9.018674850463867,ALL,0.9400000000000001,0.5683333835465328,Mpro-P0160_0A,EDJ-MED-611d11e7-4_Mpro-P0160_0A,EDG-MED-5d232de5-1,1.5462467670440674
49,c1ccc2c(c1)cncc2NC(=O)Cc3ccc(cn3)Cl,Mpro-P0025_0A_MAT-POS-afd4d4fd-2_prepped_receptor_0,RAL-THA-2d450e86-33,0.89,-7.330532550811768,ALL,0.89,0.5135208313861456,Mpro-P0025_0A,RAL-THA-2d450e86-33_Mpro-P0025_0A,MAT-POS-afd4d4fd-2,1.6453088521957397
50,c1ccc2c(c1)cncc2NC(=O)[C@@H]3C[N@H+](Cc4c3cc(cc4)Cl)CC(=O)NCC#N,Mpro-P2178_0A_MAT-POS-e119ab4f-3_prepped_receptor_0,MAT-POS-5cd9ea36-15,0.95,-9.830660820007324,ALL,0.9500000000000001,0.7384872747725818,Mpro-P2178_0A,MAT-POS-5cd9ea36-15_Mpro-P2178_0A,MAT-POS-e119ab4f-3,1.2219363451004028
51,CC1(CS(=O)(=O)C1)CS(=O)(=O)N2Cc3ccc(cc3[C@@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,Mpro-P1988_0A_EDJ-MED-4fff0a85-1_prepped_receptor_0,EDJ-MED-4fff0a85-3,0.95,-8.34184741973877,ALL,0.9500000000000001,0.5129875268981172,Mpro-P1988_0A,EDJ-MED-4fff0a85-3_Mpro-P1988_0A,EDJ-MED-4fff0a85-1,1.5488837957382202
52,C[C@@](c1ccc(c(c1)Cl)Cl)(C(=O)Nc2cncc3c2cccc3)NC(=O)[C@H]4CC[N@H+](C4)C,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,MAT-POS-e9e99895-13,0.42,-3.371726751327514,ALL,0.42,2.551440797311414,Mpro-P0160_0A,MAT-POS-e9e99895-13_Mpro-P0160_0A,EDG-MED-5d232de5-1,0.7463890314102173
